species,phase_key,label_de,ring_order,segment_order,color_hex,start_tick,end_tick,wraps_year,tick_count,source_image_url,source_sha256,extraction_status
Pipistrellus pipistrellus,courtship,Balz & Paarung,4,1,#A6CAB7,15,38,false,180,https://animal-aided-design.de/wp-content/uploads/2024/11/Zwergfledermaus-1.png,00bac89d23efd8f01b644a30801925e632917edf8dbaf8b2e6577487e883648a,reviewed
Pipistrellus pipistrellus,courtship,Balz & Paarung,4,2,#A6CAB7,97,150,false,180,https://animal-aided-design.de/wp-content/uploads/2024/11/Zwergfledermaus-1.png,00bac89d23efd8f01b644a30801925e632917edf8dbaf8b2e6577487e883648a,reviewed
Muscicapa striata,overwintering,Überwinterung,1,1,#7DBDC7,135,67,true,180,https://animal-aided-design.de/wp-content/uploads/2024/11/Grauschnaepper-1.png,3cbd7bf1e1752f1c42f6e6a6f2969294682a4206d446006bc67aa60ea9148a74,reviewed
Muscicapa striata,adult,Adult,2,1,#F5C76D,60,135,false,180,https://animal-aided-design.de/wp-content/uploads/2024/11/Grauschnaepper-1.png,3cbd7bf1e1752f1c42f6e6a6f2969294682a4206d446006bc67aa60ea9148a74,reviewed
Muscicapa striata,breeding,Brut & Aufzucht,3,1,#6EB089,75,120,false,180,https://animal-aided-design.de/wp-content/uploads/2024/11/Grauschnaepper-1.png,3cbd7bf1e1752f1c42f6e6a6f2969294682a4206d446006bc67aa60ea9148a74,reviewed
Muscicapa striata,courtship,Balz & Paarung,4,1,#A6CAB7,68,81,false,180,https://animal-aided-design.de/wp-content/uploads/2024/11/Grauschnaepper-1.png,3cbd7bf1e1752f1c42f6e6a6f2969294682a4206d446006bc67aa60ea9148a74,reviewed
Andrena barbilabris,overwintering,Überwinterung,1,1,#7DBDC7,105,53,true,180,https://animal-aided-design.de/wp-content/uploads/2024/11/Baertige-Sandbiene-1.png,38763845eba8fa0154d395fe33a9f6e2ca80d79c7c95a7de812ae95541562e47,reviewed
Andrena barbilabris,adult,Adult,2,1,#F5C76D,37,113,false,180,https://animal-aided-design.de/wp-content/uploads/2024/11/Baertige-Sandbiene-1.png,38763845eba8fa0154d395fe33a9f6e2ca80d79c7c95a7de812ae95541562e47,reviewed
Andrena barbilabris,breeding,Brutzeit,3,1,#6EB089,53,90,false,180,https://animal-aided-design.de/wp-content/uploads/2024/11/Baertige-Sandbiene-1.png,38763845eba8fa0154d395fe33a9f6e2ca80d79c7c95a7de812ae95541562e47,reviewed
Andrena barbilabris,courtship,Balz & Paarung,4,1,#A6CAB7,45,75,false,180,https://animal-aided-design.de/wp-content/uploads/2024/11/Baertige-Sandbiene-1.png,38763845eba8fa0154d395fe33a9f6e2ca80d79c7c95a7de812ae95541562e47,reviewed
Anthophora plumipes,overwintering,Überwinterung,1,1,#7DBDC7,98,45,true,180,https://animal-aided-design.de/wp-content/uploads/2024/11/Fruehlingspelzbiene-1.png,93e263c9e4498924b9f846f3dedb8ab385c962a5490ba3dba8e1a1d85cad9bc7,reviewed
Anthophora plumipes,adult,Adult,2,1,#F5C76D,30,90,false,180,https://animal-aided-design.de/wp-content/uploads/2024/11/Fruehlingspelzbiene-1.png,93e263c9e4498924b9f846f3dedb8ab385c962a5490ba3dba8e1a1d85cad9bc7,reviewed
Anthophora plumipes,larva_pupa,Larve / Puppe,3,1,#6EB089,60,105,false,180,https://animal-aided-design.de/wp-content/uploads/2024/11/Fruehlingspelzbiene-1.png,93e263c9e4498924b9f846f3dedb8ab385c962a5490ba3dba8e1a1d85cad9bc7,reviewed
Anthophora plumipes,courtship,Balz & Paarung,4,1,#A6CAB7,37,67,false,180,https://animal-aided-design.de/wp-content/uploads/2024/11/Fruehlingspelzbiene-1.png,93e263c9e4498924b9f846f3dedb8ab385c962a5490ba3dba8e1a1d85cad9bc7,reviewed
Phoenicurus phoenicurus,overwintering,Überwinterung,1,1,#7DBDC7,127,67,true,180,https://animal-aided-design.de/wp-content/uploads/2024/11/Gartenrotschwanz-1.png,1aec9381cc4a1ec60c3d40d639374ef66637553b1c363f4acaeeb7be30111e04,reviewed
Phoenicurus phoenicurus,adult,Adult,2,1,#F5C76D,45,150,false,180,https://animal-aided-design.de/wp-content/uploads/2024/11/Gartenrotschwanz-1.png,1aec9381cc4a1ec60c3d40d639374ef66637553b1c363f4acaeeb7be30111e04,reviewed
Phoenicurus phoenicurus,breeding,Brut & Aufzucht,3,1,#6EB089,60,98,false,180,https://animal-aided-design.de/wp-content/uploads/2024/11/Gartenrotschwanz-1.png,1aec9381cc4a1ec60c3d40d639374ef66637553b1c363f4acaeeb7be30111e04,reviewed
Phoenicurus phoenicurus,courtship,Balz & Paarung,4,1,#A6CAB7,53,75,false,180,https://animal-aided-design.de/wp-content/uploads/2024/11/Gartenrotschwanz-1.png,1aec9381cc4a1ec60c3d40d639374ef66637553b1c363f4acaeeb7be30111e04,reviewed
Pyrrhula pyrrhula,adult,Adult,1,1,#F5C76D,52,120,false,180,https://animal-aided-design.de/wp-content/uploads/2024/11/Gimpel-1.png,22cc3cefa2adaf38c3f0076102552c272dd7ebaf76536445bcce8b9bdaf19d4c,reviewed
Pyrrhula pyrrhula,breeding,Brut & Aufzucht,2,1,#6EB089,37,90,false,180,https://animal-aided-design.de/wp-content/uploads/2024/11/Gimpel-1.png,22cc3cefa2adaf38c3f0076102552c272dd7ebaf76536445bcce8b9bdaf19d4c,reviewed
Pyrrhula pyrrhula,courtship,Balz & Paarung,3,1,#A6CAB7,0,180,false,180,https://animal-aided-design.de/wp-content/uploads/2024/11/Gimpel-1.png,22cc3cefa2adaf38c3f0076102552c272dd7ebaf76536445bcce8b9bdaf19d4c,reviewed
Picus viridis,adult,Adult,1,1,#F5C76D,0,180,false,180,https://animal-aided-design.de/wp-content/uploads/2024/11/Gruenspecht-1.png,3b831edbe3fb36cff53c3b36c659b0cfb83e4e308cefe4dfdd64e126af07ec4b,reviewed
Picus viridis,breeding,Brut & Aufzucht,2,1,#6EB089,52,97,false,180,https://animal-aided-design.de/wp-content/uploads/2024/11/Gruenspecht-1.png,3b831edbe3fb36cff53c3b36c659b0cfb83e4e308cefe4dfdd64e126af07ec4b,reviewed
Picus viridis,courtship,Balz & Paarung,3,1,#A6CAB7,15,60,false,180,https://animal-aided-design.de/wp-content/uploads/2024/11/Gruenspecht-1.png,3b831edbe3fb36cff53c3b36c659b0cfb83e4e308cefe4dfdd64e126af07ec4b,reviewed
